patient	condition	mean_glycolysis_logCPM
0701	Graft	6.768197241371649
0701	PBMC	6.731181346045722
0708	Graft	6.451503436690368
0708	PBMC	6.454697590276361
0712	Graft	6.706145107039368
0712	PBMC	6.528737421006394
0825	Graft	6.7707247352438875
0825	PBMC	6.632470872662444
