patient,label,CXCR6_status,n_cells,mkI67_positive_frequency,proliferation_gene_positive_frequency,mean_MKI67_expression,mean_TOP2A_expression,mean_PCNA_expression,mean_CXCR6_expression,mean_proliferation_module,mean_cell_cycle_arrest_module,mean_survival_apoptosis_module,mean_S_score,mean_G2M_score,g1_phase_frequency,s_phase_frequency,g2m_phase_frequency
0701,PBMC,CXCR6-,20,0,0.4,0,0,0.1315854225472972,0,0.015686615170016377,-0.20307676102166583,-0.08052542235251922,0.009726927735994106,-0.013356262502777739,0.2,0.45,0.35
0701,PBMC,CXCR6+,34,0.058823529411764705,0.4411764705882353,0.06467181497772924,0.0333180319045263,0.19503970237222135,1.9282025916272734,0.038843954592378695,-0.1803486821225009,-0.08736953814610172,0.019747628026926003,-0.00178991361655333,0.23529411764705882,0.47058823529411764,0.29411764705882354
0701,Graft,CXCR6-,153,0.032679738562091505,0.48366013071895425,0.036340079528822754,0.014677777141514801,0.23815533832182992,0,0.03195001240904497,-0.14481542997213945,-0.09200254268166824,0.006158764915660595,-0.014983062265729801,0.3202614379084967,0.43137254901960786,0.24836601307189543
0701,Graft,CXCR6+,535,0.026168224299065422,0.3981308411214953,0.029665232472176267,0.01207403821300596,0.16193842835582462,1.8973162630884872,0.01326443694388763,-0.13304921038697978,-0.09477179111482034,1.7576846124307656e-4,-0.013857579185011255,0.31962616822429907,0.4130841121495327,0.2672897196261682
0708,PBMC,CXCR6-,31,0,0.22580645161290322,0,0.03905901756979983,0.17458229311831808,0,-0.020453976836224394,-0.17260960564268255,-0.08974616552523733,-0.0015855800289067727,-0.018081247746059514,0.2903225806451613,0.3548387096774194,0.3548387096774194
0708,PBMC,CXCR6+,9,0,0.3333333333333333,0,0,0.11369409302285496,1.4982072983903865,0.006544801276249149,-0.07280199632888926,-0.06195501608285465,0.003394768095017104,-0.02468176037972511,0.3333333333333333,0.5555555555555556,0.1111111111111111
0708,Graft,CXCR6-,93,0.021505376344086023,0.3655913978494624,0.03502915847020954,0.02595045690275438,0.26071282027890563,0,0.015921985808185025,-0.1295795218009862,-0.18890462524650822,-0.0017957613984162612,-0.030144790307042858,0.44086021505376344,0.3870967741935484,0.17204301075268819
0708,Graft,CXCR6+,50,0.04,0.22,0.05018421663139164,0,0.1417407290668195,1.7073576265549277,-0.011284336068187871,-0.13608746798742616,-0.18948579334697246,-5.194869196455969e-4,-0.021929562575525495,0.3,0.48,0.22
0712,PBMC,CXCR6-,553,0.0162748643761302,0.2224231464737794,0.01723546766818935,0.002189864361179496,0.14291440009200168,0,-0.0058406775511584,-0.10534033685451238,-0.12533554002350525,-0.0016364871133563983,-0.02502603426244087,0.4267631103074141,0.38698010849909587,0.18625678119349007
0712,PBMC,CXCR6+,40,0.025,0.15,0.03240953193356784,0,0.08583673610004965,1.5792305547287329,-0.01742432406378224,-0.14226833899350036,-0.10803978598369672,-0.014523752082127746,-0.022179638242910305,0.425,0.275,0.3
0712,Graft,CXCR6-,658,0.022796352583586626,0.22340425531914893,0.028569501465365514,0.007823490214874686,0.13747309465771487,0,-0.0031183826638941535,-0.0851524474676138,-0.13224887713065098,-0.0043660703537639215,-0.01994919089887285,0.3890577507598784,0.3556231003039514,0.2553191489361702
0712,Graft,CXCR6+,303,0.039603960396039604,0.25412541254125415,0.05401007081808706,0.02066914752446456,0.08657381347852239,1.7811812160158265,0.003172899261524745,-0.07353875732735471,-0.11249308517265914,-0.007244045866104121,-0.01735700414906198,0.41254125412541254,0.3432343234323432,0.24422442244224424
0825,PBMC,CXCR6-,368,0.005434782608695652,0.20923913043478262,0.007612721921317582,0.003418385327497922,0.10342272970334529,0,-0.005249514608034431,-0.13836882281559706,-0.10935660400184628,-0.006901540200868378,-0.02196770257228004,0.4048913043478261,0.4076086956521739,0.1875
0825,PBMC,CXCR6+,83,0,0.1566265060240964,0,0,0.06398997275451745,1.5169900942877155,-0.015407181920120772,-0.1089665646324818,-0.1209578909563998,-0.006240857173632364,-0.02812009863794434,0.4457831325301205,0.3855421686746988,0.1686746987951807
0825,Graft,CXCR6-,237,0.008438818565400843,0.2320675105485232,0.01315800863579281,0.004999304258009911,0.10421114603404792,0,7.488474466257167e-4,-0.029111600134207848,-0.09591610064427919,-0.0017317817431294034,-0.005535608298350907,0.3206751054852321,0.37130801687763715,0.3080168776371308
0825,Graft,CXCR6+,378,0.021164021164021163,0.30687830687830686,0.028992769093976703,0.02191320387585011,0.09680839645676088,1.9494380784828365,0.009569222860429568,-0.008812847997944401,-0.07783194569740232,0.0010939161272715933,-4.4767952572976987e-4,0.2698412698412698,0.35714285714285715,0.373015873015873
